kunnr,mart_miktar_ton,aygpay,hesnav,MRT 2026,fiil_nakliye_tl_ton,fob_tutar,ton_bası_karlılık
1007185,7.78,35685.7,5433.32,-106030.0,,2.6364864864864868,27490.485295629816
1007186,25.96,35685.71,5433.32,-325601.0,5613.97807190118,,22962.640525941657
1007216,7.16,35685.71,5433.32,-81349.0,5524.775887020712,,24232.661934208336
1007218,11.96,35685.71,5433.32,-243706.0,4513.790911260738,,16228.483235896452
1007225,6.31,35685.71,5433.32,-75506.0,,2.6364864864864868,29152.94442155309
1007231,23.56,35685.71,5433.32,-250499.0,,2.6364864864864868,30486.644601018674
1007232,10.08,35685.71,5433.32,-128579.0,,2.6364864864864868,28363.176825396826
1007236,10.82,35685.71,5433.32,-135041.0,,2.6364864864864868,28638.34608133087
1007237,21.54,35685.71,5433.32,-573943.0,4288.192943777596,,10185.386731245613
1007238,19.63,35685.71,5433.32,-214152.0,,2.6364864864864868,30209.605649516045
1007239,11.34,35685.71,5433.32,0.0,6621.826808092868,,34497.20319190713
1007243,19.72,35685.71,5433.32,-303669.0,4791.401288396553,,20928.592200447256
1007262,17.02,35685.71,5433.32,-322356.0,,2.6364864864864868,22179.194512338425
1008015,4.84,36384.87,5491.75,-31434.0,9049.506971321145,,26332.4849295053
1008020,1.92,36384.87,5491.75,-6240.0,10327.246478561967,,28299.373521438036
1008028,13.92,36384.87,5491.75,-116945.0,8212.113583844903,,25263.285151787284
1008032,4.25,36384.88,5491.75,-27364.0,9668.23495453008,,25769.806810175796
1008034,8.21,36384.87,5491.77,-124351.0,11007.081995196479,,15723.272986533118
1008039,0.18,35570.61,4355.39,0.0,9345.120124857813,,30580.879875142185
1008040,7.91,36384.87,5491.75,-43494.0,8813.670443301431,,27564.340201452047
1008047,4.86,36384.87,5491.75,-75364.0,9378.30676532972,,16991.31734989662
1008048,2.22,35570.62,4355.39,0.0,9303.237314826532,,30622.77268517347
1009040,3.31,35760.72,5358.32,-33525.0,2658.7438854792326,,28331.89732297998
1009049,16.2,35760.72,5358.32,-221188.0,2787.413305599659,,24678.046447486762
1009052,3.78,35760.72,5358.32,-55163.0,2566.901514537424,,23958.752242076334
1009060,12.52,35760.72,5358.32,-49755.0,3162.7145405011893,,33982.283925952484
1009067,5.77,34946.47,4221.96,-34725.0,3344.1484800716376,,29806.08394627152
1009070,4.8,35760.72,5358.32,-47736.0,2509.3847690102216,,28664.65523098978
1009075,1.44,35760.72,5358.32,-8871.0,3847.5092637769576,,31111.114069556377
1009077,1.98,35760.72,5358.32,-58764.0,4074.801117972283,,7365.451003239839
1009086,10.82,35760.72,5358.32,-243487.0,,13.855685621621625,18615.620406654347
1009087,6.78,35760.72,5358.32,-84481.0,2996.975691904077,,25661.739824320117
1009088,5.04,35760.72,5358.32,-119359.0,3245.269521303172,,14191.429208855563
1009094,11.66,35760.72,5358.32,-105421.0,2850.8171988149047,,29226.970657102764
1009095,4.78,35760.72,5358.32,-50690.0,3015.430676656953,,27499.0068128828
1009096,2.58,35760.72,5358.32,-113545.0,3823.0534501592715,,-6713.703372639888
1009097,13.44,35760.72,5358.32,-156300.0,3125.5170799652656,,26364.058634320452
1009098,4.78,35760.72,5358.32,-45826.0,3218.2659848747858,,28313.744726422286
1009100,88.78,35760.72,5358.32,-2956063.0,2534.6214637934268,,5287.921577432076
1009101,10.2,35740.95,5358.32,-141652.0,2384.715377062272,,24827.103642545564
1009110,9.77,35760.72,5358.32,-219974.0,2840.0807216333073,,15763.708510710603
1009113,5.3,35760.72,5358.32,-46502.0,3101.6261624581944,,29243.451573390863
1009114,2.84,35760.72,5358.32,-36620.0,4400.775333098774,,23823.898469718126
1009123,4.16,35760.72,5358.32,-41833.0,2557.2166807472813,,28505.8137038681
1009125,28.46,35760.72,5358.32,-742042.0,2030.517657096773,,13015.367037211028
1009129,7.31,35760.72,5358.32,-113684.0,3341.1950823274306,,22225.998132446854
1009130,7.32,35760.72,5358.32,-121255.0,2968.0259856082075,,21586.123304009285
1009133,10.44,35760.72,5358.32,-470719.0,2649.356225516498,,-6618.3430454398695
1010001,39.96,35721.56,5369.15,-1058365.0,3439.742511897289,,11165.3568774921
1010039,1.8,38762.42,5369.15,-4950.0,3188.2057934678883,,38193.36420653211
1010049,10.56,35721.56,5369.15,-124161.0,2490.807117669379,,26842.232427785166
1010058,8.1,35721.56,5369.15,-96885.0,1815.8530282749493,,27313.74586061394
1010064,28.74,35721.56,5369.15,-403870.0,2788.479643681163,,24249.690342400947
1010072,15.84,35721.56,5369.15,-345884.0,3955.2810684557285,,15299.317820433163
1010075,7.68,35721.56,5369.15,-147643.0,4167.218049402529,,17699.142992264133
1010082,6.18,35721.56,5369.15,-138440.0,4680.116827847357,,14009.298673770765
1010083,25.32,35721.56,5369.15,-386887.0,2784.8196946590638,,23025.99299096495
1010085,4.26,35721.56,5369.15,-148809.0,1853.3632543188785,13.165031621621623,4305.656604836047
1010086,8.46,35721.56,5369.15,0.0,2810.8872561766325,,38279.822743823366
1010099,1.92,35721.56,5369.15,-22221.0,4502.452124528841,,25014.820375471158
1010102,6.18,35721.56,5369.15,-57327.0,3379.456322845917,,28435.04008492107
1010103,10.14,35721.56,5369.15,-102911.0,2356.4005541025153,,28585.29563919137
1010104,6.6,35721.56,5369.15,-71726.0,3782.6274954743462,,26440.50674694989
1010109,14.22,35721.56,5369.15,-234580.0,2506.2922739378464,,22087.933900464403
1010113,15.72,35721.56,5369.15,-329963.0,1439.8830822114344,,18660.81419514226
1010114,3.18,34907.31,4232.79,-35852.0,3180.022184635619,,24685.863978886387
1010126,7.8,35721.56,5369.15,-209455.0,2795.750822669802,,11441.754049125066
1010129,11.04,35721.56,5369.15,-129025.0,2054.853605332546,,27348.80929321818
1010130,1.2,34907.31,4232.79,-70728.0,2612.9942479845245,,-22412.89424798453
1011010,7.67,35771.55,5347.5,-35252.0,,2.6364864864864868,36522.9613428944
